# 1. proc label     2. energy            3. bias correction   4. time
              0    -5.274754412818e-01   1.637555918070e-04   7.580246e+04
              1    -5.318267559512e-01   1.509942130431e-04   7.093711e+04
              2    -5.300444566600e-01   1.760998878339e-04   6.849603e+04
              3    -5.282423536575e-01   1.493664685620e-04   7.094687e+04
              4    -5.253481863247e-01   1.823099682558e-04   7.577904e+04
              5    -5.325636378023e-01   1.643137121207e-04   7.165977e+04
              6    -5.313552918708e-01   1.652448300347e-04   7.479628e+04
              7    -5.302880458796e-01   1.560747480087e-04   6.468749e+04
              8    -5.301997926327e-01   1.809835499134e-04   7.457175e+04
              9    -5.315070981348e-01   1.724134442326e-04   7.758765e+04
             10    -5.295867653096e-01   1.545699022919e-04   6.443684e+04
             11    -5.301167532345e-01   1.622084540428e-04   7.241662e+04
             12    -5.264351662852e-01   1.516384775958e-04   7.155439e+04
             13    -5.298025326431e-01   1.431943447495e-04   6.901458e+04
             14    -5.292186625348e-01   1.591239737918e-04   6.748855e+04
             15    -5.367173449950e-01   1.877454965151e-04   8.038496e+04
             16    -5.284398258140e-01   1.571498984348e-04   6.435331e+04
             17    -5.280836646568e-01   1.707807326897e-04   6.401623e+04
             18    -5.303665027797e-01   1.634097712206e-04   6.402982e+04
             19    -5.332530784266e-01   1.740976625091e-04   6.422904e+04
             20    -5.320082210832e-01   1.593850837515e-04   6.387828e+04
             21    -5.268080944525e-01   1.573982569948e-04   5.815908e+04
             22    -5.278982864145e-01   1.505114583427e-04   6.241553e+04
             23    -5.292632796966e-01   1.488924493520e-04   6.252647e+04
             24    -5.336825068930e-01   1.677327148691e-04   6.380354e+04
             25    -5.314452306273e-01   1.557726511619e-04   5.974595e+04
             26    -5.291548506968e-01   1.845980635936e-04   6.411811e+04
             27    -5.335185461693e-01   1.795864573076e-04   6.154206e+04
             28    -5.301559607455e-01   1.624728664368e-04   6.169198e+04
             29    -5.369347221954e-01   1.871806852818e-04   6.333417e+04
             30    -5.290308370263e-01   1.773696207085e-04   6.269890e+04
             31    -5.327010776039e-01   1.611216279718e-04   6.342569e+04
