# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.033143454297e+00   5.769319758295e-04   7.1924e+04
              1    -1.037211418161e+00   5.463709124012e-04   7.1871e+04
              2    -1.007904680508e+00   5.409065370931e-04   7.7182e+04
              3    -1.034679223262e+00   5.844490756408e-04   7.3032e+04
              4    -1.064636374214e+00   7.285566581291e-04   8.1549e+04
              5    -1.054530616281e+00   7.702670869919e-04   8.1270e+04
              6    -1.031023019883e+00   4.926462975744e-04   7.3409e+04
              7    -1.094763215851e+00   6.795547403110e-04   7.6033e+04
              8    -1.069169896518e+00   5.894817574815e-04   8.1485e+04
              9    -1.017280074766e+00   5.127723612025e-04   7.5891e+04
             10    -1.044305288977e+00   7.575248142055e-04   7.6907e+04
             11    -1.055363280023e+00   7.136950305976e-04   7.5229e+04
             12    -1.033951951999e+00   5.467816676324e-04   7.1526e+04
             13    -1.026729426442e+00   6.688478222508e-04   7.0722e+04
             14    -1.051585846615e+00   6.459685758829e-04   7.9089e+04
             15    -1.058714028333e+00   6.991605465732e-04   7.9517e+04
             16    -1.056109778282e+00   7.486920255425e-04   8.4391e+04
             17    -1.077957189339e+00   7.106232974013e-04   7.1147e+04
             18    -1.028392400477e+00   5.779716695138e-04   7.8688e+04
             19    -1.052627194524e+00   6.996870531357e-04   7.0320e+04
             20    -1.016629168124e+00   5.208749523929e-04   6.6998e+04
             21    -1.031354073590e+00   5.313409479263e-04   7.7052e+04
             22    -1.037993515834e+00   5.195112457250e-04   7.2316e+04
             23    -1.023939769936e+00   5.564206339134e-04   7.1809e+04
             24    -1.033233553742e+00   5.343502961566e-04   7.3554e+04
             25    -1.077775160939e+00   6.655830661269e-04   7.3814e+04
             26    -1.051206492589e+00   6.498314644237e-04   8.1309e+04
             27    -1.025955726084e+00   5.317817316866e-04   7.4231e+04
             28    -1.090848519005e+00   7.497430750019e-04   8.0498e+04
             29    -1.068610820911e+00   5.927402284625e-04   7.9098e+04
             30    -1.027616793018e+00   6.028645469770e-04   7.4335e+04
             31    -1.055385113277e+00   6.804388705949e-04   8.0475e+04
             32    -1.050526738658e+00   5.844066737775e-04   7.2409e+04
             33    -1.046839260124e+00   6.554208800875e-04   7.4498e+04
             34    -1.047668112851e+00   6.215338740169e-04   7.7114e+04
             35    -1.055646400943e+00   7.259876549106e-04   7.8061e+04
             36    -1.073619995428e+00   6.179147089607e-04   6.8068e+04
             37    -1.043782911125e+00   6.930170943835e-04   7.3895e+04
             38    -1.057582372546e+00   7.340781222648e-04   7.2213e+04
             39    -1.017764079600e+00   5.390005032680e-04   7.9776e+04
             40    -9.951868634217e-01   4.598558862234e-04   7.2081e+04
             41    -1.045921558291e+00   7.531837867010e-04   7.6803e+04
             42    -1.030863743462e+00   5.522598314671e-04   7.3417e+04
             43    -1.043468535909e+00   6.782225693326e-04   7.7975e+04
             44    -1.058519017974e+00   6.666339442736e-04   7.7271e+04
             45    -9.978574494129e-01   5.004129812801e-04   7.0540e+04
             46    -1.058172808395e+00   7.623911256784e-04   7.7784e+04
             47    -1.060367052835e+00   7.126212474177e-04   8.1436e+04
             48    -1.037765241221e+00   5.995803197925e-04   6.8761e+04
             49    -1.046840753316e+00   7.078007271050e-04   7.4580e+04
             50    -1.043056206525e+00   5.659699076536e-04   7.1993e+04
             51    -1.045105918253e+00   6.088799355346e-04   7.4275e+04
             52    -1.030780979234e+00   6.192672368208e-04   7.7902e+04
             53    -1.054823664582e+00   7.336852071311e-04   7.3048e+04
             54    -1.012055126177e+00   5.891172903585e-04   7.1302e+04
             55    -1.073667111802e+00   6.102551485771e-04   7.6260e+04
             56    -1.052329368937e+00   6.481646091135e-04   7.7190e+04
             57    -1.075282517634e+00   6.813643067180e-04   7.0728e+04
             58    -1.031850696485e+00   5.925131673392e-04   7.2910e+04
             59    -1.056075310465e+00   5.625625445311e-04   7.2638e+04
             60    -1.001220229478e+00   5.080825686251e-04   7.3661e+04
             61    -1.035317584571e+00   5.590211371733e-04   7.0887e+04
             62    -1.020531319345e+00   5.204786484120e-04   7.7122e+04
             63    -1.046987842660e+00   5.743807578990e-04   7.3558e+04
             64    -1.019544876739e+00   5.282547459434e-04   7.9529e+04
             65    -1.003447812624e+00   5.541972994586e-04   6.8889e+04
             66    -1.078032880377e+00   7.147216204168e-04   8.0784e+04
             67    -1.038365676529e+00   5.659866559330e-04   7.5396e+04
             68    -1.012757097346e+00   5.800772982797e-04   7.3511e+04
             69    -1.052007264852e+00   6.329473013662e-04   7.4650e+04
             70    -1.018808661562e+00   7.513645761643e-04   7.3690e+04
             71    -1.025115204968e+00   5.172702221463e-04   8.0556e+04
             72    -1.034622607204e+00   6.911947706630e-04   7.3469e+04
             73    -1.044860062647e+00   6.420996848309e-04   7.3085e+04
             74    -1.076473877560e+00   7.018725084634e-04   7.1263e+04
             75    -1.045967684588e+00   6.317451111821e-04   7.1014e+04
             76    -1.091075520190e+00   9.561430858573e-04   7.5768e+04
             77    -1.016978062129e+00   6.356126468465e-04   7.4422e+04
             78    -1.041454832728e+00   6.996397214731e-04   7.8486e+04
             79    -1.036533009294e+00   5.268701652838e-04   8.3179e+04
             80    -1.049088613715e+00   6.679567114317e-04   7.3720e+04
             81    -1.026140218637e+00   6.517585501316e-04   8.0647e+04
             82    -1.077748366570e+00   6.424289616688e-04   8.2393e+04
             83    -1.044281324185e+00   6.165992300706e-04   7.3714e+04
             84    -1.063618979458e+00   5.425072001684e-04   7.9896e+04
             85    -1.063903131422e+00   6.090232025433e-04   7.3205e+04
             86    -1.046114905514e+00   7.015197791185e-04   8.1719e+04
             87    -1.042429946106e+00   5.846586367997e-04   7.5825e+04
             88    -1.060494008615e+00   6.331359486250e-04   7.0495e+04
             89    -1.049850691464e+00   6.136027661523e-04   7.7417e+04
             90    -1.039688958067e+00   6.836191004935e-04   7.8485e+04
             91    -1.039203411376e+00   6.333947842326e-04   7.8506e+04
             92    -1.052544149810e+00   8.418061966020e-04   7.8349e+04
             93    -1.034389859980e+00   4.248782768738e-04   7.0629e+04
             94    -1.057415688689e+00   7.450244249330e-04   7.9641e+04
             95    -1.048548307667e+00   6.305064218023e-04   7.4898e+04
             96    -1.054950644000e+00   7.432583732379e-04   8.0913e+04
             97    -1.039522146719e+00   5.684322622632e-04   7.2681e+04
             98    -1.035357030894e+00   5.227935389703e-04   7.8466e+04
             99    -1.055386348718e+00   7.777231365369e-04   7.7493e+04
            100    -1.065659962408e+00   6.773012112174e-04   8.3840e+04
            101    -1.046171547206e+00   5.400914077536e-04   7.3673e+04
            102    -1.040071153935e+00   5.542928277155e-04   7.4740e+04
            103    -1.044368152051e+00   5.944712633003e-04   7.4872e+04
            104    -1.040034900020e+00   6.141642542409e-04   8.3558e+04
            105    -1.033557430485e+00   5.374939778637e-04   7.4295e+04
            106    -1.086282826439e+00   6.670959030292e-04   8.7694e+04
            107    -1.052138779638e+00   7.922226856884e-04   7.9878e+04
            108    -1.085605364614e+00   6.399703771449e-04   8.3737e+04
            109    -1.039314918635e+00   6.464490352112e-04   8.0228e+04
            110    -1.034903494252e+00   7.173209946054e-04   7.0727e+04
            111    -1.034479921410e+00   6.211106590559e-04   7.6963e+04
            112    -1.038935601797e+00   6.877531369994e-04   8.3795e+04
            113    -1.066347687679e+00   6.748050891421e-04   8.1615e+04
            114    -1.023680791398e+00   5.524172426839e-04   7.4259e+04
            115    -1.072290189523e+00   5.886149330221e-04   7.8885e+04
            116    -1.032337942727e+00   7.389579269999e-04   7.8418e+04
            117    -1.039951847686e+00   6.725588971308e-04   7.2427e+04
            118    -1.027535803883e+00   4.707646914687e-04   6.9807e+04
            119    -1.043121963465e+00   5.897221770323e-04   7.5941e+04
            120    -1.046836488664e+00   5.967550199704e-04   8.1663e+04
            121    -1.053338892843e+00   6.393640564533e-04   7.6389e+04
            122    -1.056074231382e+00   5.525748284619e-04   7.8477e+04
            123    -1.033341181079e+00   5.752799724541e-04   7.7910e+04
            124    -1.036983504409e+00   6.618900867443e-04   7.3999e+04
            125    -1.081464762405e+00   7.234453994164e-04   7.8676e+04
            126    -1.052881403821e+00   6.735585003462e-04   7.7383e+04
            127    -1.034200181331e+00   5.554490694429e-04   7.7260e+04
            128    -1.068056093558e+00   5.402282694042e-04   7.5855e+04
            129    -1.079950082733e+00   6.642541186776e-04   8.5614e+04
            130    -1.039776835782e+00   5.491673805025e-04   7.1254e+04
            131    -1.014764181575e+00   6.619248217125e-04   7.8031e+04
            132    -1.054807972727e+00   5.583846415428e-04   7.5845e+04
            133    -1.065609279121e+00   7.327932783235e-04   7.6469e+04
            134    -1.061706675449e+00   7.461804006079e-04   7.1646e+04
            135    -1.041844277328e+00   7.659017945158e-04   7.7824e+04
            136    -1.095105191189e+00   7.337155294114e-04   8.0743e+04
            137    -1.056309707828e+00   6.352978659998e-04   7.7187e+04
            138    -1.032974530984e+00   6.312211252851e-04   7.4804e+04
            139    -1.054596367920e+00   8.545731462034e-04   8.0318e+04
            140    -1.048603826959e+00   6.438791020763e-04   8.0839e+04
            141    -1.066700485392e+00   6.902923385676e-04   7.6995e+04
            142    -1.026375041648e+00   6.552174827038e-04   7.8308e+04
            143    -1.051311783620e+00   5.699765177860e-04   7.3916e+04
            144    -1.041243290704e+00   7.038535428698e-04   7.6715e+04
            145    -1.028243899710e+00   6.645330222067e-04   7.5063e+04
            146    -1.054151916413e+00   6.162524428016e-04   7.4964e+04
            147    -1.037368042799e+00   6.189457020778e-04   7.8679e+04
            148    -1.041593428906e+00   6.588114852226e-04   7.5848e+04
            149    -1.065050310861e+00   7.058960151772e-04   8.0279e+04
            150    -1.021523484708e+00   6.629135027963e-04   7.1043e+04
            151    -1.078480120833e+00   5.967631777746e-04   7.3421e+04
            152    -1.032138684547e+00   7.749029040495e-04   8.0637e+04
            153    -1.043544322353e+00   6.308773539713e-04   7.2715e+04
