# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.536258925003e-01   1.405704486756e-05   9.001034e+01
              1    -1.551469894078e-01   1.686505555321e-05   9.084887e+01
              2    -1.520521151558e-01   1.846376552951e-05   8.771947e+01
              3    -1.529710528932e-01   1.760458794023e-05   8.844672e+01
              4    -1.529702286940e-01   1.617624460273e-05   8.828857e+01
              5    -1.536295732206e-01   1.790366777572e-05   9.043994e+01
              6    -1.541311591623e-01   1.714631429454e-05   9.152596e+01
              7    -1.543996514704e-01   1.840104242727e-05   9.160018e+01
              8    -1.555498043790e-01   1.812739894990e-05   9.209540e+01
              9    -1.530451746334e-01   1.732937892725e-05   9.020744e+01
             10    -1.534630116886e-01   1.791505055018e-05   8.933200e+01
             11    -1.538364487786e-01   1.877166714517e-05   8.824473e+01
             12    -1.564922917650e-01   1.863621089810e-05   9.107234e+01
             13    -1.530136074032e-01   1.718366244796e-05   9.259242e+01
             14    -1.524583742746e-01   1.683352905164e-05   8.994083e+01
             15    -1.531472364902e-01   1.595026464769e-05   8.902626e+01
             16    -1.537501504173e-01   1.643349414069e-05   9.045001e+01
             17    -1.561080526853e-01   1.840959160589e-05   9.079378e+01
             18    -1.530791358510e-01   1.753476948692e-05   8.952549e+01
             19    -1.550357302784e-01   1.734378999091e-05   9.388428e+01
             20    -1.530598608381e-01   1.669795613588e-05   9.096289e+01
             21    -1.535603275716e-01   1.737287131909e-05   8.911242e+01
             22    -1.555436344579e-01   1.739214281637e-05   9.238797e+01
             23    -1.547763918667e-01   1.643923997831e-05   9.014067e+01
             24    -1.544003900006e-01   1.891754508907e-05   9.032237e+01
             25    -1.523181728999e-01   1.709908959804e-05   8.884316e+01
             26    -1.507191442399e-01   1.696516090164e-05   8.985869e+01
             27    -1.549286655092e-01   1.736389492369e-05   9.068210e+01
             28    -1.543638043236e-01   1.780694958989e-05   8.845702e+01
             29    -1.543831560965e-01   1.806873101227e-05   8.915222e+01
             30    -1.520418203702e-01   1.638995707646e-05   8.941242e+01
             31    -1.543196080233e-01   1.701681448175e-05   8.960886e+01
