# 1. proc label     2. energy            3. bias correction   4. niters  5. time
         72.156    -8.751149035064e-01   2.705635317006e-04   7.2156e+01   7.4175e+04
72.19933333333333    -8.651974937014e-01   2.382857101943e-04   7.2199e+01   7.1906e+04
          72.96    -8.760598859523e-01   2.558510658733e-04   7.2960e+01   7.8277e+04
72.50333333333333    -8.715555085809e-01   2.196106157290e-04   7.2503e+01   7.3465e+04
73.12066666666666    -8.783886984668e-01   2.402044009325e-04   7.3121e+01   7.8112e+04
          72.39    -8.786186721226e-01   2.438778302359e-04   7.2390e+01   7.5536e+04
72.48266666666666    -8.775335359460e-01   2.445402918428e-04   7.2483e+01   7.3867e+04
72.72733333333333    -8.713624722940e-01   2.364195289394e-04   7.2727e+01   7.0859e+04
72.79866666666666    -8.653509686035e-01   2.394830439425e-04   7.2799e+01   7.4885e+04
73.06533333333333    -8.658132217660e-01   2.635642371505e-04   7.3065e+01   7.4222e+04
72.40133333333333    -8.693909603747e-01   2.402039196520e-04   7.2401e+01   7.0227e+04
73.49133333333333    -8.969093585227e-01   2.318802947287e-04   7.3491e+01   7.6432e+04
72.46266666666666    -8.711628980162e-01   2.811622442578e-04   7.2463e+01   7.4776e+04
         73.746    -8.901897295812e-01   2.421377444130e-04   7.3746e+01   7.5038e+04
72.70933333333333    -8.743082800294e-01   2.367066237870e-04   7.2709e+01   7.8157e+04
72.67266666666667    -8.780767745237e-01   2.235288659109e-04   7.2673e+01   7.2733e+04
         72.976    -8.819302627379e-01   2.371719004507e-04   7.2976e+01   7.6554e+04
73.30666666666667    -8.794308732348e-01   2.269396047843e-04   7.3307e+01   7.4126e+04
72.25866666666667    -8.677467471476e-01   2.277624618246e-04   7.2259e+01   7.2689e+04
         72.536    -8.677838120360e-01   2.354356506009e-04   7.2536e+01   7.3611e+04
72.76933333333334    -8.636182334092e-01   2.402340955992e-04   7.2769e+01   7.2983e+04
72.78266666666667    -8.863590593895e-01   2.671441755716e-04   7.2783e+01   7.6069e+04
72.80066666666667    -8.871057672641e-01   2.609932345734e-04   7.2801e+01   7.3926e+04
72.63666666666667    -8.878491452227e-01   2.716212933681e-04   7.2637e+01   7.5458e+04
73.68466666666667    -8.803409452041e-01   2.333935002195e-04   7.3685e+01   7.6669e+04
         72.304    -8.535138526183e-01   2.243890356637e-04   7.2304e+01   7.2124e+04
72.88066666666667    -8.881127989825e-01   2.640328463165e-04   7.2881e+01   7.5655e+04
72.53866666666667    -8.815658406736e-01   2.592389232911e-04   7.2539e+01   6.8288e+04
72.48133333333334    -8.716400008392e-01   2.764489615516e-04   7.2481e+01   7.7775e+04
         72.406    -8.616851899876e-01   2.211232218171e-04   7.2406e+01   7.3608e+04
72.23733333333334    -8.675993793632e-01   2.296832859028e-04   7.2237e+01   7.1692e+04
         71.926    -8.578457573581e-01   2.361670303817e-04   7.1926e+01   6.7880e+04
         71.816    -8.680252205524e-01   2.285928067270e-04   7.1816e+01   7.0950e+04
71.66866666666667    -8.609688922859e-01   2.331115308826e-04   7.1669e+01   7.5917e+04
71.69066666666667    -8.659739951697e-01   2.659894512537e-04   7.1691e+01   7.4524e+04
         72.762    -8.766762938437e-01   2.430502259005e-04   7.2762e+01   7.4896e+04
