# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.382633575249e-01   7.312853355142e-05   2.504649e+02
              1    -2.417503964452e-01   7.502645594003e-05   2.638387e+02
              2    -2.416625318066e-01   7.049002148852e-05   2.559478e+02
              3    -2.414488701986e-01   6.981476352056e-05   2.574935e+02
              4    -2.400840753801e-01   7.147601603497e-05   2.514926e+02
              5    -2.399264048867e-01   6.908603150240e-05   2.563503e+02
              6    -2.399997567960e-01   6.960310527126e-05   2.603950e+02
              7    -2.412770287154e-01   6.855263492346e-05   2.582196e+02
              8    -2.419631481141e-01   7.428416020263e-05   2.593490e+02
              9    -2.419026375637e-01   7.555043173025e-05   2.562997e+02
             10    -2.413726453217e-01   7.625318652300e-05   2.584039e+02
             11    -2.399529189516e-01   7.734583659488e-05   2.655906e+02
             12    -2.421905505264e-01   7.558924968297e-05   2.584301e+02
             13    -2.417254385784e-01   7.114867013869e-05   2.546466e+02
             14    -2.433013362400e-01   7.388220983452e-05   2.563942e+02
             15    -2.410229946853e-01   6.997177399350e-05   2.531284e+02
