# 1. proc label     2. energy            3. bias correction   4. time
              0    -4.242369246295e-01   1.071559378049e-04   2.009005e+04
              1    -4.171695284464e-01   1.030346035196e-04   1.934657e+04
              2    -4.270303026039e-01   1.096013765841e-04   2.070193e+04
              3    -4.300057860207e-01   1.219188776181e-04   2.044371e+04
              4    -4.195827676465e-01   1.151262100958e-04   2.069463e+04
              5    -4.268879564786e-01   1.214475933914e-04   2.074147e+04
              6    -4.231315343568e-01   1.065647196973e-04   2.001966e+04
              7    -4.187826655232e-01   1.051311904662e-04   2.008354e+04
              8    -4.165087074266e-01   1.107166982872e-04   1.915472e+04
              9    -4.231402735935e-01   1.036454605615e-04   2.059493e+04
             10    -4.268324347386e-01   1.245582364064e-04   2.129872e+04
             11    -4.231642920586e-01   1.099843610498e-04   1.947232e+04
             12    -4.236764224215e-01   1.052703372216e-04   2.032161e+04
             13    -4.256167079042e-01   1.158233266349e-04   1.962234e+04
             14    -4.313911356275e-01   1.185685692664e-04   1.945332e+04
             15    -4.233450110637e-01   1.179982070688e-04   1.994952e+04
             16    -4.296496136876e-01   1.480492243667e-04   2.125399e+04
             17    -4.268694107465e-01   1.108265268907e-04   1.996254e+04
             18    -4.197038407740e-01   1.008246713027e-04   2.031421e+04
             19    -4.256374118907e-01   1.207619247504e-04   2.016376e+04
             20    -4.259102901652e-01   1.186082321269e-04   2.034443e+04
             21    -4.210131704269e-01   1.337560239195e-04   2.049206e+04
             22    -4.203642116584e-01   9.579655127870e-05   1.869303e+04
             23    -4.236488507424e-01   1.041788688479e-04   1.994325e+04
             24    -4.306072374772e-01   1.247857427794e-04   1.979331e+04
             25    -4.207184447297e-01   1.103974329699e-04   2.009296e+04
             26    -4.263874441866e-01   1.058411295892e-04   1.937838e+04
             27    -4.244353037761e-01   1.178170160103e-04   2.014994e+04
             28    -4.278551781730e-01   1.063619221758e-04   1.972334e+04
             29    -4.252163706728e-01   1.252010781488e-04   1.963577e+04
             30    -4.195621406106e-01   1.131503578881e-04   2.007755e+04
             31    -4.223443816252e-01   1.074779867676e-04   1.983317e+04
