# 1. proc label     2. energy            3. bias correction   4. time
              0    -7.216654220975e-02   2.074475918502e-06   3.444908e+00
              1    -7.176954230683e-02   2.064696890183e-06   3.481293e+00
              2    -7.201107841513e-02   2.009759297556e-06   3.456191e+00
              3    -7.029414551027e-02   1.809447503587e-06   3.503941e+00
              4    -7.129887101361e-02   1.859537690643e-06   3.493652e+00
              5    -7.177980665576e-02   1.931826085462e-06   3.480591e+00
              6    -7.255949975827e-02   1.955285881303e-06   3.524547e+00
              7    -7.206408739340e-02   1.950672972286e-06   3.468177e+00
              8    -7.254407357118e-02   2.328450204676e-06   3.475904e+00
              9    -7.201527764197e-02   1.938787908176e-06   3.473587e+00
             10    -7.037511733758e-02   1.943837462807e-06   3.465722e+00
             11    -7.209674254481e-02   1.988633675627e-06   3.439269e+00
             12    -7.130071853892e-02   1.903294892803e-06   3.430013e+00
             13    -7.238333327539e-02   2.023840012482e-06   3.527319e+00
             14    -7.201898310130e-02   2.066338271953e-06   3.480005e+00
             15    -7.149398479010e-02   1.992129949374e-06   3.515886e+00
             16    -7.128423012225e-02   1.941394892081e-06   3.395943e+00
             17    -7.229157305560e-02   2.124872280650e-06   3.432078e+00
             18    -7.189794024300e-02   1.965615135435e-06   3.475766e+00
             19    -7.154263613305e-02   1.998814437417e-06   3.366807e+00
             20    -7.218528313350e-02   2.041448945534e-06   3.551166e+00
             21    -7.255320368880e-02   2.008952070293e-06   3.477352e+00
             22    -7.123983225955e-02   1.960089388264e-06   3.519579e+00
             23    -7.176444486057e-02   1.878355710856e-06   3.498847e+00
             24    -7.244361991244e-02   1.966237568959e-06   3.528371e+00
             25    -7.222038566624e-02   1.909181575291e-06   3.436166e+00
             26    -7.288699799491e-02   1.994971692651e-06   3.460655e+00
             27    -7.175099651295e-02   1.856276927382e-06   3.476179e+00
             28    -7.227941290003e-02   2.059741679174e-06   3.477107e+00
             29    -7.096430085601e-02   2.014681295635e-06   3.424832e+00
             30    -7.164633992579e-02   2.010595075236e-06   3.475964e+00
             31    -7.197538948262e-02   1.974800199271e-06   3.356351e+00
