# 1. proc label     2. energy            3. bias correction   4. time
              0    -8.794675538613e-01   2.628839336345e-04   2.674695e+04
              1    -9.025681525759e-01   2.856321287653e-04   2.598364e+04
              2    -8.629561685925e-01   2.494674060279e-04   2.314762e+04
              3    -8.898044304716e-01   2.554940833097e-04   2.538668e+04
              4    -8.309956941660e-01   2.462076636750e-04   2.305254e+04
              5    -8.767636186379e-01   2.735940819667e-04   2.533981e+04
              6    -8.727696724335e-01   2.427954861230e-04   2.307577e+04
              7    -8.777457193134e-01   2.947825032653e-04   2.626446e+04
              8    -8.537594547666e-01   2.092969408010e-04   2.210476e+04
              9    -8.847445956158e-01   2.693502425786e-04   2.556535e+04
             10    -8.686953879499e-01   2.089574300093e-04   2.634173e+04
             11    -9.119956321687e-01   2.324657949149e-04   2.223115e+04
             12    -8.574524531902e-01   2.273169961510e-04   2.572336e+04
             13    -8.441916062838e-01   2.486493946988e-04   2.450356e+04
             14    -8.696253197893e-01   2.703102095635e-04   2.868531e+04
             15    -8.973694245353e-01   2.422331124551e-04   3.123182e+04
             16    -8.810554371118e-01   2.433502867755e-04   2.590005e+04
             17    -8.672557589728e-01   2.459167528977e-04   2.473809e+04
             18    -8.742894791974e-01   2.483915154072e-04   2.393361e+04
             19    -8.850147337872e-01   2.804996988804e-04   2.322035e+04
             20    -8.655328391617e-01   2.007573068812e-04   2.455179e+04
             21    -8.936830645019e-01   2.978390263012e-04   2.625188e+04
             22    -8.372211109564e-01   2.708032454045e-04   2.407171e+04
             23    -8.683315092948e-01   2.159018520919e-04   2.139236e+04
             24    -8.714154968972e-01   2.606748188156e-04   2.257765e+04
             25    -8.499327344529e-01   2.175351435174e-04   2.514197e+04
             26    -8.972241919016e-01   2.781528088538e-04   2.358854e+04
             27    -8.777585448988e-01   2.202793450696e-04   2.395727e+04
             28    -8.732590995581e-01   2.213050104340e-04   2.204317e+04
             29    -8.958578969996e-01   2.875236945245e-04   2.659063e+04
             30    -8.493214890291e-01   2.508308297631e-04   2.428415e+04
             31    -8.869186964025e-01   2.175784311343e-04   2.448829e+04
             32    -8.728287907886e-01   2.503241146297e-04   2.627620e+04
             33    -8.865622595481e-01   2.014147041291e-04   2.474277e+04
