# 1. proc label     2. energy            3. bias correction   4. niters  5. time
104.60396825396825    -9.233750592653e-01   3.535110257063e-04   1.0460e+02   8.9982e+04
105.51428571428572    -9.359921974971e-01   5.227573885901e-04   1.0551e+02   9.5970e+04
104.88253968253969    -9.570348768727e-01   3.471046298057e-04   1.0488e+02   9.2889e+04
103.26269841269841    -9.092381685702e-01   2.671567466682e-04   1.0326e+02   8.7075e+04
103.60873015873015    -9.293914548307e-01   3.273055492768e-04   1.0361e+02   9.1648e+04
103.91349206349206    -9.172508051893e-01   3.329439837840e-04   1.0391e+02   8.7351e+04
103.20873015873016    -9.173331714439e-01   3.421682808399e-04   1.0321e+02   8.1244e+04
103.48968253968253    -9.211799521752e-01   3.396513592380e-04   1.0349e+02   9.0832e+04
105.43492063492063    -9.259951111668e-01   3.042547099065e-04   1.0543e+02   8.9272e+04
104.24603174603175    -9.203699961682e-01   3.706318024968e-04   1.0425e+02   9.6692e+04
103.92142857142858    -9.167658360031e-01   3.705116763924e-04   1.0392e+02   9.1046e+04
103.44365079365079    -9.327951300292e-01   3.513658400058e-04   1.0344e+02   9.6730e+04
103.57777777777778    -8.994101947297e-01   3.197888642307e-04   1.0358e+02   9.0076e+04
102.42857142857143    -9.164848240530e-01   3.307192518752e-04   1.0243e+02   8.6053e+04
102.9888888888889    -9.211193514216e-01   4.064674495356e-04   1.0299e+02   9.6018e+04
102.46111111111111    -9.022447516575e-01   4.142652534912e-04   1.0246e+02   8.4928e+04
104.43412698412699    -9.240165639525e-01   3.444912830462e-04   1.0443e+02   9.5972e+04
104.89761904761905    -9.244765955304e-01   3.461817740474e-04   1.0490e+02   9.3577e+04
104.8484126984127    -9.246161795920e-01   5.019217651079e-04   1.0485e+02   1.0211e+05
103.21904761904761    -9.241135825902e-01   4.011333147715e-04   1.0322e+02   8.6818e+04
104.60079365079365    -9.128030043300e-01   3.681667294071e-04   1.0460e+02   9.2011e+04
103.44444444444444    -9.243302839134e-01   3.228163486912e-04   1.0344e+02   8.6922e+04
102.68492063492063    -9.127805426185e-01   3.518306129012e-04   1.0268e+02   8.8703e+04
104.01507936507936    -9.336424426193e-01   3.805510801664e-04   1.0402e+02   9.2276e+04
103.6452380952381    -9.301672780509e-01   3.628861662086e-04   1.0365e+02   8.6794e+04
103.63809523809523    -9.283260440687e-01   6.274431316741e-04   1.0364e+02   9.3495e+04
104.1484126984127    -9.098111460293e-01   3.048525283560e-04   1.0415e+02   8.5510e+04
103.0579365079365    -9.297800523195e-01   3.722332008540e-04   1.0306e+02   9.5305e+04
104.05555555555556    -9.226463075322e-01   4.163289132627e-04   1.0406e+02   9.6785e+04
103.41031746031746    -9.084974698218e-01   3.805017819122e-04   1.0341e+02   8.9951e+04
103.22063492063492    -9.114391597662e-01   3.391848654597e-04   1.0322e+02   8.6961e+04
104.1047619047619    -9.298555800369e-01   3.468193259245e-04   1.0410e+02   8.7127e+04
103.12460317460318    -9.142796319535e-01   4.399512137233e-04   1.0312e+02   8.9241e+04
102.93492063492063    -9.144233937829e-01   3.281736396507e-04   1.0293e+02   8.7360e+04
103.17698412698412    -9.420022245026e-01   3.209049989042e-04   1.0318e+02   9.2860e+04
102.16507936507936    -9.001092872932e-01   3.374371814810e-04   1.0217e+02   8.7701e+04
102.76984126984127    -9.018603009869e-01   3.320395150508e-04   1.0277e+02   8.7655e+04
105.67063492063492    -9.293277723690e-01   3.225185729428e-04   1.0567e+02   8.9754e+04
103.63968253968254    -9.351666289501e-01   4.053687223965e-04   1.0364e+02   9.5799e+04
104.76269841269841    -9.453072973200e-01   4.582835455272e-04   1.0476e+02   9.7953e+04
102.02142857142857    -9.089635858549e-01   4.338574834597e-04   1.0202e+02   8.9147e+04
103.06269841269841    -9.332728976668e-01   3.855672216607e-04   1.0306e+02   8.4935e+04
103.58809523809524    -9.213215855711e-01   3.404023316824e-04   1.0359e+02   8.8281e+04
104.06904761904762    -9.125618376056e-01   3.324194337812e-04   1.0407e+02   8.8113e+04
103.20873015873016    -9.222504330804e-01   3.931942783348e-04   1.0321e+02   9.4018e+04
103.8515873015873    -9.327059986998e-01   4.494473965662e-04   1.0385e+02   8.9389e+04
103.42539682539683    -9.111181626703e-01   4.345803526345e-04   1.0343e+02   9.5001e+04
103.25952380952381    -9.163975685424e-01   3.185213201135e-04   1.0326e+02   8.9889e+04
103.66269841269842    -9.164712314476e-01   3.866094520836e-04   1.0366e+02   9.5963e+04
102.77142857142857    -9.238410343059e-01   3.478316568470e-04   1.0277e+02   9.3961e+04
104.51746031746032    -9.242104310438e-01   3.804272204422e-04   1.0452e+02   9.2095e+04
103.5436507936508    -8.994589810027e-01   3.567168112962e-04   1.0354e+02   1.0025e+05
