# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.393129570098e-01   4.074684107876e-05   8.861432e+02
              1    -2.367146783231e-01   4.200110400061e-05   8.464720e+02
              2    -2.366427758730e-01   3.933008915950e-05   8.533939e+02
              3    -2.364045871008e-01   3.671477655195e-05   8.399817e+02
              4    -2.408829172887e-01   4.109300893748e-05   8.870804e+02
              5    -2.386783025164e-01   4.022540312175e-05   8.687354e+02
              6    -2.404004013557e-01   4.164425406208e-05   8.702857e+02
              7    -2.387781161589e-01   4.705019118159e-05   8.778847e+02
              8    -2.359512180677e-01   3.507597234154e-05   8.551260e+02
              9    -2.379340812606e-01   3.864417895516e-05   8.713453e+02
             10    -2.347543130213e-01   3.783150459406e-05   8.454447e+02
             11    -2.397392003294e-01   3.878666463583e-05   8.878127e+02
             12    -2.382479136186e-01   4.310820439201e-05   8.854704e+02
             13    -2.378218245848e-01   3.810567768498e-05   8.410186e+02
             14    -2.402644143693e-01   4.023253535050e-05   8.621477e+02
             15    -2.378775955306e-01   3.923894337447e-05   8.511556e+02
             16    -2.370415106055e-01   4.064363155787e-05   8.663750e+02
             17    -2.383946552711e-01   3.969471838777e-05   8.553037e+02
             18    -2.424380384143e-01   4.448127924515e-05   8.816397e+02
             19    -2.390562515951e-01   4.447437546847e-05   8.724333e+02
             20    -2.359406167566e-01   3.743907983512e-05   8.699210e+02
             21    -2.386328083488e-01   4.405896192378e-05   8.764206e+02
             22    -2.396829837650e-01   4.383165292733e-05   8.803207e+02
             23    -2.386331727669e-01   4.698471561255e-05   8.739448e+02
             24    -2.368518941704e-01   4.073007907379e-05   8.447785e+02
             25    -2.386806533847e-01   4.046768905583e-05   8.657600e+02
             26    -2.388238027374e-01   3.960882124142e-05   8.917843e+02
             27    -2.354596719351e-01   3.696455363735e-05   8.530523e+02
             28    -2.385354676578e-01   3.962596108269e-05   8.530571e+02
             29    -2.372811556321e-01   4.053889329994e-05   8.544213e+02
             30    -2.396750147030e-01   4.183082653311e-05   8.567511e+02
             31    -2.369569753600e-01   4.023612678010e-05   8.796350e+02
