# 1. proc label     2. energy            3. bias correction   4. time
              0    -6.485094801464e-01   2.176548530679e-04   1.875272e+05
              1    -6.469822632930e-01   1.997400246807e-04   1.820017e+05
              2    -6.335864719055e-01   2.041020775631e-04   1.848277e+05
              3    -6.403696258926e-01   2.048107156369e-04   1.882482e+05
              4    -6.408652935200e-01   2.010548373969e-04   1.717871e+05
              5    -6.362763457492e-01   1.911202726279e-04   1.807499e+05
              6    -6.281623963750e-01   1.786309231099e-04   1.698420e+05
              7    -6.388608249590e-01   1.954846930692e-04   1.827791e+05
              8    -6.406089578895e-01   2.218746617868e-04   1.941836e+05
              9    -6.391893100823e-01   2.016740329570e-04   1.684510e+05
             10    -6.274940282045e-01   1.910479517807e-04   1.796115e+05
             11    -6.334374711751e-01   1.938594305282e-04   1.790367e+05
             12    -6.425896311886e-01   1.864010924982e-04   1.678042e+05
             13    -6.277363187283e-01   1.961829737242e-04   1.736025e+05
             14    -6.440358073729e-01   2.216115005240e-04   1.978295e+05
             15    -6.378227423103e-01   1.979337428270e-04   1.780341e+05
             16    -6.329349389102e-01   1.889768759670e-04   2.017074e+05
             17    -6.332550364155e-01   2.036312811570e-04   1.841429e+05
             18    -6.458575470315e-01   2.078541177398e-04   1.794649e+05
             19    -6.433853641331e-01   2.046877048962e-04   1.819064e+05
             20    -6.350255670394e-01   1.795007875956e-04   1.662076e+05
             21    -6.393531711944e-01   2.032209371786e-04   1.841133e+05
             22    -6.481841606291e-01   1.975451439132e-04   1.794491e+05
             23    -6.419281930575e-01   2.200774656566e-04   1.858204e+05
             24    -6.432413430451e-01   2.056067053309e-04   1.848440e+05
             25    -6.405977731157e-01   1.933970452962e-04   1.818522e+05
             26    -6.484369488682e-01   2.079346171015e-04   1.854260e+05
             27    -6.287866998486e-01   1.871189553013e-04   1.792823e+05
             28    -6.425041841233e-01   2.083002560129e-04   1.966869e+05
             29    -6.360552240017e-01   2.169350874090e-04   1.751057e+05
             30    -6.421679784997e-01   1.987147553932e-04   1.988303e+05
             31    -6.408888175892e-01   1.922081289104e-04   1.779756e+05
