# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.391147613886e-01   7.462172385092e-05   2.272908e+02
              1    -2.402349059115e-01   7.560493885914e-05   2.252189e+02
              2    -2.378424223915e-01   7.270330080281e-05   2.241372e+02
              3    -2.357180052305e-01   7.664455795613e-05   2.184816e+02
              4    -2.401837495728e-01   7.565389629996e-05   2.242263e+02
              5    -2.392798158506e-01   7.530047509212e-05   2.254740e+02
              6    -2.380948764001e-01   7.100950535227e-05   2.259260e+02
              7    -2.405869306969e-01   7.512962173794e-05   2.233123e+02
              8    -2.382949139650e-01   7.215694370024e-05   2.259943e+02
              9    -2.394628925916e-01   8.105271799995e-05   2.199757e+02
             10    -2.394092344252e-01   7.503984849545e-05   2.241211e+02
             11    -2.392425197656e-01   7.812310746058e-05   2.246023e+02
             12    -2.428396463180e-01   8.018407850597e-05   2.273884e+02
             13    -2.382118790329e-01   7.170507691479e-05   2.239473e+02
             14    -2.371227983396e-01   6.974363631839e-05   2.216977e+02
             15    -2.406099015565e-01   7.500080535856e-05   2.250942e+02
